Aerolinea,Origen,Destino,Tiempo_Promedio
AEROLINEAS ARGENTINAS SA,AER,AER,01:29:50
AEROLINEAS ARGENTINAS SA,AER,BAR,02:01:53
AEROLINEAS ARGENTINAS SA,AER,BCA,01:02:32
AEROLINEAS ARGENTINAS SA,AER,CAT,01:35:32
AEROLINEAS ARGENTINAS SA,AER,CBA,01:07:35
AEROLINEAS ARGENTINAS SA,AER,CHP,01:58:53
AEROLINEAS ARGENTINAS SA,AER,CRR,01:13:47
AEROLINEAS ARGENTINAS SA,AER,CRV,02:11:04
AEROLINEAS ARGENTINAS SA,AER,DOZ,01:37:32
AEROLINEAS ARGENTINAS SA,AER,DRY,01:39:25
AEROLINEAS ARGENTINAS SA,AER,ECA,02:54:35
AEROLINEAS ARGENTINAS SA,AER,ESQ,02:08:10
AEROLINEAS ARGENTINAS SA,AER,FSA,01:24:04
AEROLINEAS ARGENTINAS SA,AER,GAL,02:55:45
AEROLINEAS ARGENTINAS SA,AER,GRA,03:05:51
AEROLINEAS ARGENTINAS SA,AER,IGU,01:29:42
AEROLINEAS ARGENTINAS SA,AER,JUA,01:38:07
AEROLINEAS ARGENTINAS SA,AER,JUJ,01:54:04
AEROLINEAS ARGENTINAS SA,AER,LAR,01:36:56
AEROLINEAS ARGENTINAS SA,AER,MDP,00:44:49
AEROLINEAS ARGENTINAS SA,AER,NEU,01:35:33
AEROLINEAS ARGENTINAS SA,AER,OSA,01:04:16
AEROLINEAS ARGENTINAS SA,AER,PAR,00:44:10
AEROLINEAS ARGENTINAS SA,AER,POS,01:14:21
AEROLINEAS ARGENTINAS SA,AER,ROS,00:36:04
AEROLINEAS ARGENTINAS SA,AER,SAL,01:52:27
AEROLINEAS ARGENTINAS SA,AER,SDE,01:28:01
AEROLINEAS ARGENTINAS SA,AER,SIS,01:13:11
AEROLINEAS ARGENTINAS SA,AER,SRA,01:33:19
AEROLINEAS ARGENTINAS SA,AER,SVO,00:46:46
AEROLINEAS ARGENTINAS SA,AER,TRC,01:03:14
AEROLINEAS ARGENTINAS SA,AER,TRE,01:42:55
AEROLINEAS ARGENTINAS SA,AER,TRH,01:18:54
AEROLINEAS ARGENTINAS SA,AER,TUC,01:37:16
AEROLINEAS ARGENTINAS SA,AER,UIS,01:16:54
AEROLINEAS ARGENTINAS SA,AER,USU,03:15:59
AEROLINEAS ARGENTINAS SA,AER,VIE,01:20:39
AEROLINEAS ARGENTINAS SA,BAR,AER,01:44:58
AEROLINEAS ARGENTINAS SA,BAR,CBA,01:43:53
AEROLINEAS ARGENTINAS SA,BAR,DOZ,01:20:20
AEROLINEAS ARGENTINAS SA,BAR,ECA,01:29:54
AEROLINEAS ARGENTINAS SA,BAR,ESQ,00:17:00
AEROLINEAS ARGENTINAS SA,BAR,EZE,01:42:04
AEROLINEAS ARGENTINAS SA,BAR,MDP,01:38:00
AEROLINEAS ARGENTINAS SA,BAR,NEU,00:33:00
AEROLINEAS ARGENTINAS SA,BAR,ROS,01:36:37
AEROLINEAS ARGENTINAS SA,BAR,SAL,02:24:15
AEROLINEAS ARGENTINAS SA,BAR,TUC,02:11:46
AEROLINEAS ARGENTINAS SA,BCA,AER,00:57:21
AEROLINEAS ARGENTINAS SA,BCA,EZE,00:51:41
AEROLINEAS ARGENTINAS SA,BCA,MDP,00:43:20
AEROLINEAS ARGENTINAS SA,BCA,TRE,00:58:22
AEROLINEAS ARGENTINAS SA,BCA,VIE,00:30:00
AEROLINEAS ARGENTINAS SA,CAT,AER,01:21:40
AEROLINEAS ARGENTINAS SA,CAT,EZE,01:18:37
AEROLINEAS ARGENTINAS SA,CAT,LAR,00:25:20
AEROLINEAS ARGENTINAS SA,CBA,AER,00:59:16
AEROLINEAS ARGENTINAS SA,CBA,BAR,01:54:17
AEROLINEAS ARGENTINAS SA,CBA,CHP,01:49:49
AEROLINEAS ARGENTINAS SA,CBA,CRR,01:02:50
AEROLINEAS ARGENTINAS SA,CBA,CRV,02:18:46
AEROLINEAS ARGENTINAS SA,CBA,DOZ,00:52:25
AEROLINEAS ARGENTINAS SA,CBA,ECA,03:02:46
AEROLINEAS ARGENTINAS SA,CBA,EZE,00:58:52
AEROLINEAS ARGENTINAS SA,CBA,IGU,01:29:54
AEROLINEAS ARGENTINAS SA,CBA,JUA,00:47:13
AEROLINEAS ARGENTINAS SA,CBA,JUJ,01:10:10
AEROLINEAS ARGENTINAS SA,CBA,MDP,01:20:39
AEROLINEAS ARGENTINAS SA,CBA,NEU,01:26:26
AEROLINEAS ARGENTINAS SA,CBA,POS,01:15:16
